id,value,type,threat_type,malware,malware_aliases,first_seen,last_seen,confidence_level,reporter,tags,reference,anonymous
1809400,raw.fastrunbase.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T04:46:36+00:00,2026-05-09T04:46:56+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
1809399,bin.datasrvhub.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T04:41:51+00:00,2026-05-09T04:42:58+00:00,100,threatcat_ch,"['payload_delivery', 'ClearFake']",,False
1809398,zip.fastrunbase.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T04:41:38+00:00,2026-05-09T04:42:30+00:00,100,threatcat_ch,"['payload_delivery', 'ClearFake']",,False
1809397,ssl.datasrvhub.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T04:37:25+00:00,2026-05-09T04:37:56+00:00,100,ttakvam,"['payload_delivery', 'ClearFake']",,True
1809396,os.linkdataproc.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T04:36:41+00:00,2026-05-09T04:37:58+00:00,100,threatcat_ch,"['payload_delivery', 'ClearFake']",,False
1809395,hub.datasrvhub.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T04:32:14+00:00,2026-05-09T04:33:58+00:00,100,threatcat_ch,"['payload_delivery', 'ClearFake']",,False
1809394,metal.linkdataproc.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T04:32:03+00:00,2026-05-09T04:32:27+00:00,100,threatcat_ch,"['payload_delivery', 'ClearFake']",,False
1809393,node.datasrvhub.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T04:27:34+00:00,2026-05-09T04:30:46+00:00,100,threatcat_ch,"['payload_delivery', 'ClearFake']",,False
1809392,api.linkdataproc.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T04:27:08+00:00,2026-05-09T04:27:29+00:00,100,ttakvam,"['payload_delivery', 'ClearFake']",,True
1809380,dbinst.linkdataproc.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T04:22:27+00:00,2026-05-09T04:22:48+00:00,100,threatcat_ch,"['payload_delivery', 'ClearFake']",,False
1809379,fix.datasrvhub.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T04:20:30+00:00,2026-05-09T04:21:18+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
1809378,skyvpn.linkdataproc.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T04:17:14+00:00,2026-05-09T04:18:29+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
1809377,cfg.webcfgbase.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T04:16:14+00:00,2026-05-09T04:16:33+00:00,100,ttakvam,"['payload_delivery', 'ClearFake']",,True
1809376,cmd.linkdataproc.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T04:12:48+00:00,2026-05-09T04:13:23+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
1809375,top.webcfgbase.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T04:11:37+00:00,2026-05-09T04:11:44+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
1809374,tmp.cloudviewtop.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T04:08:20+00:00,2026-05-09T04:09:25+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
1809373,mgr.webcfgbase.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T04:06:49+00:00,,100,threatcat_ch,"['payload_delivery', 'ClearFake']",,False
1809372,bin.cloudviewtop.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T04:03:37+00:00,2026-05-09T04:04:48+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
1809371,cpu.webcfgbase.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T04:02:22+00:00,2026-05-09T04:03:21+00:00,100,threatcat_ch,"['payload_delivery', 'ClearFake']",,False
1809370,ssl.cloudviewtop.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T03:59:14+00:00,2026-05-09T03:59:52+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
